,method,n,p(t),ate_var,ate,r2,r2-adj
0,DIM,2000,0.5,0.00033302402402402335,0.3330000000000003,0.1428483094177171,0.1424193045675758
1,DIM,2000,0.5,0.0003466086086086086,0.32400000000000034,0.1316313479623814,0.13119672901741763
2,DIM,2000,0.5,0.000341923923923924,0.33000000000000035,0.13748888978668272,0.13705720254433362
3,DIM,2000,0.5,0.0003459579579579577,0.32600000000000035,0.13326144200626955,0.13282763892419058
4,DIM,2000,0.5,0.00033831331331331277,0.35500000000000037,0.15714330247202257,0.15672145227305956
5,DIM,2000,0.5,0.0003450810810810804,0.35200000000000037,0.15233299236761422,0.15190873460603638
6,DIM,2000,0.5,0.000330021021021021,0.3630000000000004,0.16655354034817504,0.1661363999779789
7,DIM,2000,0.5,0.00034205705705705704,0.37100000000000033,0.16763592917055814,0.16721933053650928
8,DIM,2000,0.5,0.0003420130130130129,0.3470000000000003,0.14980883383037735,0.14938331272618832
9,DIM,2000,0.5,0.0003531671671671664,0.33600000000000035,0.13792631614955797,0.13749484783932242
10,DIM,2000,0.5,0.0003305025025025024,0.35000000000000037,0.15648072923851963,0.15605854742132164
11,DIM,2000,0.5,0.0003288238238238237,0.3370000000000003,0.1473852099579649,0.14695847582881472
12,DIM,2000,0.5,0.00032648448448448436,0.32800000000000035,0.14157652322673975,0.14114688184697333
13,DIM,2000,0.5,0.000330352352352352,0.31600000000000034,0.13140676404790086,0.1309720326985755
14,DIM,2000,0.5,0.00034570070070070086,0.34900000000000037,0.14990689356820897,0.14948142154296784
15,DIM,2000,0.5,0.00034191691691691636,0.32300000000000034,0.13248480276934393,0.1320506109789381
16,DIM,2000,0.5,0.00034079579579579587,0.35300000000000037,0.15469405439226014,0.15427097834340742
17,DIM,2000,0.5,0.0003382292292292291,0.3170000000000003,0.12945092628734012,0.1290152160402367
18,DIM,2000,0.5,0.0003497057057057053,0.3780000000000004,0.16977742289649667,0.1693618960811295
19,DIM,2000,0.5,0.00033981981981981923,0.35200000000000037,0.15432750752306823,0.15390424801732394
20,DIM,2000,0.5,0.0003474264264264261,0.34900000000000037,0.14927343163075601,0.14884764255749805
21,DIM,2000,0.5,0.0003124624624624623,0.34000000000000036,0.15623732936883317,0.1558150257298786
22,DIM,2000,0.5,0.00034250550550550535,0.3430000000000003,0.14669908662988174,0.1462720090956624
23,DIM,2000,0.5,0.0003290790790790787,0.34600000000000036,0.15403182641633717,0.15360841892205102
24,DIM,2000,0.5,0.0003534534534534532,0.33000000000000035,0.13360323886639636,0.13316960685381696
