,method,n,p(t),ate_var,ate,r2,r2-adj
0,GP-Interact,500,0.5,0,0.14122465890598251,0.8702104568754738,0.8699498353029347
1,GP-Interact,500,0.5,0,0.13863242406614837,0.8752832673007847,0.8750328320945613
2,GP-Interact,500,0.5,0,0.15390659775392135,0.8412101994416004,0.8408913444203987
3,GP-Interact,500,0.5,0,0.12474734224536221,0.8555529200194589,0.855262865641988
4,GP-Interact,500,0.5,0,0.14712450386877832,0.8502523905444996,0.8499516925335449
5,GP-Interact,500,0.5,0,0.11971852120123973,0.834496887907038,0.8341645523405863
6,GP-Interact,500,0.5,0,0.12336832819997548,0.8630269608860663,0.8627519146227853
7,GP-Interact,500,0.5,0,0.09908260017342341,0.8434444251472776,0.8431300565230753
8,GP-Interact,500,0.5,0,0.11932965787258855,0.8692030494506574,0.8689404049716427
9,GP-Interact,500,0.5,0,0.12398451714062043,0.8560613430074813,0.8557723095597052
10,GP-Interact,500,0.5,0,0.0973280530366951,0.8524875923215992,0.8521913826676265
11,GP-Interact,500,0.5,0,0.1003487536659313,0.8543998131011206,0.85410744324791
12,GP-Interact,500,0.5,0,0.10171352930986044,0.8388344364616149,0.8385108108320198
13,GP-Interact,500,0.5,0,0.09880406261969164,0.8437141691295406,0.8434003421599212
14,GP-Interact,500,0.5,0,0.08574868475048415,0.8554449379171911,0.8551546667081895
15,GP-Interact,500,0.5,0,0.10820436929848973,0.8599265920248707,0.8596453201213061
16,GP-Interact,500,0.5,0,0.08569654715042978,0.8467854772779532,0.8464778175937724
17,GP-Interact,500,0.5,0,0.11700959039103062,0.8461988952114343,0.845890057651618
18,GP-Interact,500,0.5,0,0.10829862218095898,0.8275628211875059,0.8272165617923001
19,GP-Interact,500,0.5,0,0.09418661249950298,0.8465368643882587,0.8462287054814078
20,GP-Interact,500,0.5,0,0.12642456142797956,0.8548865088921944,0.8545951163397691
21,GP-Interact,500,0.5,0,0.09827122658372908,0.8520453902101233,0.8517482926001034
22,GP-Interact,500,0.5,0,0.08864227455161053,0.8231635316052718,0.8228084382952422
23,GP-Interact,500,0.5,0,0.12026557556698109,0.8662262748456899,0.865957652907629
24,GP-Interact,500,0.5,0,0.1271515726891514,0.8527781683803718,0.8524825422124609
25,GP-Interact,500,0.5,0,0.11762313014883921,0.8592755427734516,0.858992963542073
26,GP-Interact,500,0.5,0,0.10881787208950403,0.8625863044720512,0.8623103733565333
27,GP-Interact,500,0.5,0,0.08956771095042249,0.8442453347140261,0.8439325743419659
28,GP-Interact,500,0.5,0,0.13857868789912794,0.8565507734034765,0.8562627227476602
29,GP-Interact,500,0.5,0,0.07796823566863825,0.8305136914706552,0.8301733575177851
30,GP-Interact,500,0.5,0,0.0920565102765318,0.8457787166142452,0.8454690353223059
31,GP-Interact,500,0.5,0,0.10400169784832139,0.8401990275586335,0.8398781420718034
32,GP-Interact,500,0.5,0,0.14341900088598297,0.867089895854966,0.8668230080956386
33,GP-Interact,500,0.5,0,0.15150812826224969,0.8524024436020244,0.8521060629666871
34,GP-Interact,500,0.5,0,0.09465059303632296,0.8328907664611317,0.8325552057512142
35,GP-Interact,500,0.5,0,0.12133635599960708,0.8461585166717009,0.8458495980304794
36,GP-Interact,500,0.5,0,0.12161269988275754,0.8624528675532999,0.8621766684921619
37,GP-Interact,500,0.5,0,0.0926378430052927,0.8324938859447627,0.8321575282860172
38,GP-Interact,500,0.5,0,0.10544610135200595,0.8418733800796044,0.841555856746431
39,GP-Interact,500,0.5,0,0.12047083834673612,0.8586534747692519,0.8583696464053348
40,GP-Interact,500,0.5,0,0.10890013048470161,0.8522926635514565,0.8519960624742506
41,GP-Interact,500,0.5,0,0.12123808106906557,0.8329025812899555,0.832567044304594
42,GP-Interact,500,0.5,0,0.1130476574957374,0.8606604951389445,0.8603806969364123
43,GP-Interact,500,0.5,0,0.10999125100146523,0.8469803222162318,0.8466730537869471
44,GP-Interact,500,0.5,0,0.09732726201047842,0.843819271473796,0.8435056555530607
45,GP-Interact,500,0.5,0,0.0695122688704462,0.8501603962093663,0.8498595134708309
46,GP-Interact,500,0.5,0,0.10968162932236211,0.8329340064234173,0.8325985325407335
47,GP-Interact,500,0.5,0,0.08357112014528038,0.8477010612071448,0.8473952400449102
