,method,n,p(t),ate_var,ate,r2,r2-adj
0,GRF-Adjusted,1000,0.5,0.5380831819705852,29.71517327846602,0.6218256561410276,0.621446723932752
1,GRF-Adjusted,1000,0.5,0.5043536326696247,30.57850934620529,0.6500637033903597,0.6497130658186065
2,GRF-Adjusted,1000,0.5,0.45132317667978883,30.516717136251945,0.6740076649842305,0.6736810193579621
3,GRF-Adjusted,1000,0.5,0.421826222691712,29.003691280409996,0.6664683265779594,0.6661341265043902
4,GRF-Adjusted,1000,0.5,0.5002393253577248,29.766018405108117,0.6396050146709111,0.6392438974511425
5,GRF-Adjusted,1000,0.5,0.4348166869695096,29.907514739352948,0.6733326309539174,0.6730053089408452
6,GRF-Adjusted,1000,0.5,0.4574006184929434,28.84997870073201,0.6458074901945923,0.645452587880158
7,GRF-Adjusted,1000,0.5,0.5108937515417593,29.714668087336157,0.6339318537562755,0.6335650520065322
8,GRF-Adjusted,1000,0.5,0.4714538960865934,30.324858207959846,0.6615291878890135,0.6611900387786818
9,GRF-Adjusted,1000,0.5,0.4419151918792817,29.632802793120938,0.6656660807959884,0.6653310768689302
10,GRF-Adjusted,1000,0.5,0.4986502080420387,29.621910084812015,0.6380996869695013,0.6377370614053424
11,GRF-Adjusted,1000,0.5,0.44183781684879675,29.166325591832106,0.6586061112481617,0.6582640332033202
12,GRF-Adjusted,1000,0.5,0.49569045827762165,30.51588421118509,0.653066315955501,0.6527186870135726
13,GRF-Adjusted,1000,0.5,0.5289545565553168,29.09681553507071,0.6159414633306424,0.615556635137587
14,GRF-Adjusted,1000,0.5,0.6066677026841228,30.472486368726077,0.605316953959386,0.6049214799653573
15,GRF-Adjusted,1000,0.5,0.5303802241603414,29.57163122111485,0.6229383472070551,0.6225605299196875
16,GRF-Adjusted,1000,0.5,0.5244829927603629,29.93251426494507,0.6312259249423153,0.6308564118410551
17,GRF-Adjusted,1000,0.5,0.3906441979946431,28.250721471453517,0.6718232232741013,0.6714943888284841
18,GRF-Adjusted,1000,0.5,0.4825410114629275,30.865110584607333,0.6642270764797331,0.6638906306645825
19,GRF-Adjusted,1000,0.5,0.4718319197955227,30.16083139064058,0.6589160271708611,0.6585742596630162
20,GRF-Adjusted,1000,0.5,0.4988583323359782,30.63812055017057,0.6534343623810206,0.6530871022230857
21,GRF-Adjusted,1000,0.5,0.46312479963137465,29.41885641685968,0.6518718027523676,0.6515229769034221
22,GRF-Adjusted,1000,0.5,0.4536245891770583,28.750294790030807,0.6461201627674035,0.6457655737521404
23,GRF-Adjusted,1000,0.5,0.44377274872739464,29.028435444217045,0.6554857619212212,0.6551405572738477
24,GRF-Adjusted,1000,0.5,0.513245856937672,28.964324371554294,0.6209015912717305,0.6205217331467523
25,GRF-Adjusted,1000,0.5,0.5427417372236996,30.184771502389495,0.6271579386114057,0.6267843493715373
26,GRF-Adjusted,1000,0.5,0.4730893592939071,30.596943769426318,0.6647463135013548,0.664410387963781
27,GRF-Adjusted,1000,0.5,0.4720414640694566,28.974585983856986,0.6405548989784087,0.6401947335465232
28,GRF-Adjusted,1000,0.5,0.38566559403901696,29.170443378581204,0.6885487534206074,0.6882366780232332
29,GRF-Adjusted,1000,0.5,0.48282118080132674,28.937165100625457,0.6347407241345752,0.634374732876193
30,GRF-Adjusted,1000,0.5,0.5438701755840789,31.031052593347333,0.6395169599871118,0.639155754536197
31,GRF-Adjusted,1000,0.5,0.5122500835274589,30.716825087838906,0.6485815703800956,0.6482294477051257
32,GRF-Adjusted,1000,0.5,0.4848158813646652,29.16566692472439,0.6374277712272751,0.6370644724008495
